name,brand,price_raw,price_clean,old_price_clean,discount_percentage,rating_score,review_count,category,image,url
Women's MerinoFleece335 KuolpaSt. II Zip Hoody,Stoic,"94,98 €",94.98,189.95,50.0,4.4,19,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6686-0411_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinofleece335-kuolpast-ii-zip-hoody-merinohoodie/
Women's Jacket Gmund,Schöffel,"ab 62,37 €",62.37,119.95,48.0,4.9,14,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-2706-1811_pic1_1.jpg,https://www.bergfreunde.de/schoeffel-womens-jacket-gmund-regenjacke/
Women's Quest Jacket,The North Face,"84,47 €",84.47,129.95,35.0,4.6,31,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-2158-4911_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-quest-jacket-regenjacke/
Crater IV Hardshell Hooded Jacket,Mammut,"ab 283,47 €",283.47,449.95,37.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3177-0711_pic1_1.jpg,https://www.bergfreunde.de/mammut-crater-iv-hardshell-hooded-jacket-regenjacke/
Linard Guide Hardshell Hooded Jacket,Mammut,"ab 156,57 €",156.57,269.95,42.0,4.6,8,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3178-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-linard-guide-hardshell-hooded-jacket-hardshelljacke/
Spitz GTX Pro II Jacket,Haglöfs,"ab 389,97 €",389.97,649.95,40.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3540-0111_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-spitz-gtx-pro-ii-jacket-regenjacke/
Classic Retro-X Jacket,Patagonia,"ab 136,77 €",136.77,239.95,43.0,4.4,25,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6413-0311_pic1_1.jpg,https://www.bergfreunde.de/patagonia-classic-retro-x-jacket-fleecejacke/
Women's Alicia Parka Long 3,Didriksons,"164,98 €",164.98,329.95,50.0,4.6,25,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5968-0111_pic1_1.jpg,https://www.bergfreunde.de/didriksons-womens-alicia-parka-long-3-parka/
Women's Ducan Guide Hardshell Hooded Jacket,Mammut,"164,97 €",164.97,299.95,45.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4440-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-ducan-guide-hardshell-hooded-jacket-hardshelljacke/
Front Proof II Jacket,Haglöfs,"ab 149,97 €",149.97,249.95,40.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3538-0311_pic1_1.jpg,https://www.bergfreunde.de/hagloefs-front-proof-ii-jacket-regenjacke/
Women's Puez Aqua 4 PowerTex 2.5L Jacket,Salewa,"ab 76,97 €",76.97,139.95,45.0,4.8,16,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3340-0411_pic1_1.jpg,https://www.bergfreunde.de/salewa-womens-puez-aqua-4-powertex-25l-jacket-regenjacke/
Women's Quest Jacket,The North Face,"97,46 €",97.46,129.95,25.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5254-0611_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-quest-jacket-regenjacke-bf/
Boy's Antora Rain Jacket,The North Face,"59,96 €",59.96,79.95,25.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-4456-0911_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-boys-antora-rain-jacket-regenjacke/
Women's Escape Light Jacket,Vaude,"95,96 €",95.96,119.95,20.0,4.6,46,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-0336-5811_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-escape-light-jacket-regenjacke/
Women's Alto Light Hardshell Hooded Jacket,Mammut,"ab 151,17 €",151.17,239.95,37.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4017-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-alto-light-hardshell-hooded-jacket-regenjacke/
Women's Fineline Stretch Shell,Black Diamond,"124,76 €",124.76,159.95,22.0,4.9,9,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4135-0111_pic1_1.jpg,https://www.bergfreunde.de/black-diamond-womens-fineline-stretch-shell-regenjacke/
Treeline Hardshell Hooded Jacket,Mammut,"197,97 €",197.97,329.95,40.0,5.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3346-0311_pic1_1.jpg,https://www.bergfreunde.de/mammut-treeline-hardshell-hooded-jacket-regenjacke/
Gamma Lightweight Hoody,Arc'teryx,"233,96 €",233.96,259.95,10.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3271-0611_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-gamma-lightweight-hoody-softshelljacke/
Kid's Trolltunga Jacket,Trollkids,"ab 27,97 €",27.97,39.95,29.99,4.7,13,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-4383-0511_pic1_1.jpg,https://www.bergfreunde.de/trollkids-kids-trolltunga-jacket-regenjacke/
Women's Microlight Alpine Jacket,Rab,"179,96 €",179.96,239.95,25.0,4.5,33,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-2576-1511_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-microlight-alpine-jacket-daunenjacke/
Microlight Alpine Jacket Exclusive,Rab,"179,96 €",179.96,239.95,25.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-7535-0111_pic1_1.jpg,https://www.bergfreunde.de/rab-microlight-alpine-jacket-exclusive-daunenjacke/
SandvikSt. Poncho Towel,Stoic,"17,98 €",17.98,39.95,54.99,4.7,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_050-1809-0211_pic1_1.jpg,https://www.bergfreunde.de/stoic-sandvikst-poncho-towel-surf-poncho/
Houdini Jacket,Patagonia,"ab 69,27 €",69.27,109.95,37.0,4.4,32,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_018-0101-5511_pic1_1.jpg,https://www.bergfreunde.de/patagonia-houdini-jacket-freizeitjacke/
Women's Beta SL Jacket,Arc'teryx,"ab 454,95 €",454.95,454.95,0.0,3.0,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4629-0711_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-womens-beta-sl-jacket-regenjacke-bf/
Women's Crater IV Hardshell Hooded Jacket,Mammut,"283,47 €",283.47,449.95,37.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4018-0111_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-crater-iv-hardshell-hooded-jacket-regenjacke/
Linard Hardshell Thermo Hooded Jacket,Mammut,"117,48 €",117.48,249.95,53.0,4.9,9,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6952-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-linard-hardshell-thermo-hooded-jacket-winterjacke/
Beta Jacket,Arc'teryx,"399,95 €",399.95,399.95,0.0,4.8,14,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3528-0611_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-beta-jacket-regenjacke/
Linard Light Hardshell Hooded Jacket,Mammut,"ab 113,37 €",113.37,179.95,37.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3345-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-linard-light-hardshell-hooded-jacket-regenjacke/
Women's Col Becchei Jacket,Ortovox,"ab 174,98 €",174.98,329.95,46.97,4.7,49,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-1589-0211_pic1_1.jpg,https://www.bergfreunde.de/ortovox-womens-col-becchei-jacket-softshelljacke/
Better Sweater Jacket,Patagonia,"ab 85,47 €",85.47,149.95,43.0,4.6,107,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-2893-0711_pic1_1.jpg,https://www.bergfreunde.de/patagonia-better-sweater-jacket-fleecejacke/
Aconcagua 3 Hoodie,The North Face,"ab 105,58 €",105.58,219.95,52.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-5262-0911_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-aconcagua-3-hoodie-daunenjacke/
Women's Diablo Dynamic Zip-In Jacket,The North Face,"ab 144,26 €",144.26,184.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4881-0711_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-diablo-dynamic-zip-in-jacket-regenjacke/
Atom SL Hoody,Arc'teryx,"233,96 €",233.96,259.95,10.0,4.8,24,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-6291-0111_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-atom-sl-hoody-kunstfaserjacke/
Women's Bettaforca LT Down Hoodie,The North Face,"ab 232,46 €",232.46,309.95,25.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6512-0211_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-bettaforca-lt-down-hoodie-daunenjacke/
Kid's Trollfjord Jacket,Trollkids,"ab 36,46 €",36.46,49.95,27.01,4.8,94,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-2088-2411_pic1_1.jpg,https://www.bergfreunde.de/trollkids-kids-trollfjord-jacket-softshelljacke/
Women's Tilde Jacket 4,Didriksons,"132,56 €",132.56,169.95,22.0,4.3,8,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-3887-1111_pic1_1.jpg,https://www.bergfreunde.de/didriksons-womens-tilde-jacket-4-regenjacke/
Squamish Hoody,Arc'teryx,"179,96 €",179.96,199.95,10.0,4.7,70,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_018-0411-0411_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-squamish-hoody-windjacke/
Fleece Light Jacket,Ortovox,"144,46 €",144.46,169.95,15.0,4.9,33,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5250-1311_pic1_1.jpg,https://www.bergfreunde.de/ortovox-fleece-light-jacket-fleecejacke-bf/
Women's M10 Storm Jacket,Patagonia,"ab 216,57 €",216.57,379.95,43.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4165-0211_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-m10-storm-jacket-regenjacke/
Escape Light Jacket,Vaude,"ab 95,96 €",95.96,119.95,20.0,4.6,51,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-0648-3411_pic1_1.jpg,https://www.bergfreunde.de/vaude-escape-light-jacket-regenjacke-bf/
Women's Swisswool Piz Duan Jacket,Ortovox,"ab 194,97 €",194.97,299.95,35.0,4.8,13,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6139-0211_pic1_1.jpg,https://www.bergfreunde.de/ortovox-womens-swisswool-piz-duan-jacket-isolationsjacke-bf/
PerformanceDown SalmiSt. Jacket with Hood,Stoic,"116,98 €",116.98,259.95,55.0,4.2,29,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-7044-0311_pic1_1.jpg,https://www.bergfreunde.de/stoic-performancedown-salmist-jacket-with-hood-daunenjacke/
Women's MountainWool60 JokkmokkSt. Hybrid Hoody,Stoic,"ab 80,98 €",80.98,179.95,55.0,4.5,19,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6678-0511_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-mountainwool60-jokkmokkst-hybrid-hoody-isolationsjacke/
Women's Glacier Fleece Jacket,The North Face,"70,16 €",70.16,89.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6475-1111_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-glacier-fleece-jacket-fleecejacke/
Klara Women's Parka,Didriksons,"ab 124,98 €",124.98,249.95,50.0,4.6,23,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-5306-0211_pic1_1.jpg,https://www.bergfreunde.de/didriksons-klara-womens-parka-parka/
Women's Ilma Parka 8,Didriksons,"187,46 €",187.46,249.95,25.0,4.6,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-4058-0911_pic1_1.jpg,https://www.bergfreunde.de/didriksons-womens-ilma-parka-8-mantel-bf/
Treeline Light Hardshell Hooded Jacket,Mammut,"ab 176,37 €",176.37,279.95,37.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3347-0211_pic1_1.jpg,https://www.bergfreunde.de/mammut-treeline-light-hardshell-hooded-jacket-regenjacke/
Padum 3in1 Jacket,Vaude,"139,98 €",139.98,349.95,60.0,4.5,2,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_004-7175-0211_pic1_1.jpg,https://www.bergfreunde.de/vaude-padum-3in1-jacket-doppeljacke/
Westalpen 3L Jacket,Ortovox,"526,96 €",526.96,619.95,15.0,4.9,13,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2178-0511_pic1_1.jpg,https://www.bergfreunde.de/ortovox-westalpen-3l-jacket-regenjacke/
Dryzzle Futurelight 2 Jacket,The North Face,"ab 202,76 €",202.76,259.95,22.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3327-0411_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-dryzzle-futurelight-2-jacket-regenjacke/
R1 Air Jacket,Patagonia,"139,95 €",139.95,139.95,0.0,4.8,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6418-0711_pic1_1.jpg,https://www.bergfreunde.de/patagonia-r1-air-jacket-fleecejacke/
Puez Aqua 4 PowerTex 2.5L Jacket,Salewa,"109,16 €",109.16,139.95,22.0,4.1,22,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2671-1111_pic1_1.jpg,https://www.bergfreunde.de/salewa-puez-aqua-4-powertex-25l-jacket-regenjacke/
Gamma Hoody,Arc'teryx,"ab 284,95 €",284.95,284.95,0.0,4.7,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3479-0411_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-gamma-hoody-softshelljacke-bf-1/
Falketind GORE-TEX Jacket,Norrøna,"548,95 €",548.95,548.95,0.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3186-0411_pic1_1.jpg,https://www.bergfreunde.de/norroena-falketind-gore-tex-jacket-regenjacke-bf/
"Women's Itri 2,5 Layer Coat",Vaude,"ab 109,98 €",109.98,219.95,50.0,4.6,24,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_103-2189-0811_pic1_1.jpg,https://www.bergfreunde.de/vaude-womens-itri-25-layer-coat-regenmantel/
Women's Electron Pro Jacket,Rab,"149,98 €",149.98,299.95,50.0,4.8,36,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-2575-0211_pic1_1.jpg,https://www.bergfreunde.de/rab-womens-electron-pro-jacket-daunenjacke/
Kyanite Lightweight Jacket,Arc'teryx,"ab 132,95 €",132.95,132.95,0.0,4.6,8,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-6112-0211_pic1_1.jpg,https://www.bergfreunde.de/arcteryx-kyanite-lightweight-jacket-fleecejacke/
Women's Synch Marsupial,Patagonia,"ab 83,97 €",83.97,139.95,40.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-4267-1211_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-synch-marsupial-fleecejacke/
Women's Fairbanks Full Zip Recycled Sherpa Fleece,Passenger,"93,46 €",93.46,109.95,15.0,5.0,3,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6792-0211_pic1_1.jpg,https://www.bergfreunde.de/passenger-womens-fairbanks-full-zip-recycled-sherpa-fleece-fleecejacke/
Ultimate VIII Softshell Hooded Jacket,Mammut,"239,96 €",239.96,299.95,20.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3449-0411_pic1_1.jpg,https://www.bergfreunde.de/mammut-ultimate-viii-softshell-hooded-jacket-softshelljacke/
Women's MerinoFleece260 FlenSt. Zip Hoody,Stoic,"ab 94,98 €",94.98,189.95,50.0,4.5,19,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-6684-0311_pic1_1.jpg,https://www.bergfreunde.de/stoic-womens-merinofleece260-flenst-zip-hoody-merinohoodie/
Nimble Jacket 2,The North Face,"83,96 €",83.96,104.95,20.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_003-3562-0411_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-nimble-jacket-2-softshelljacke/
Fleece Grid Jacket,Ortovox,"ab 175,96 €",175.96,219.95,20.0,5.0,6,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5247-0811_pic1_1.jpg,https://www.bergfreunde.de/ortovox-fleece-grid-jacket-fleecejacke-bf/
Alta Vista Jacket,The North Face,"ab 136,46 €",136.46,174.95,22.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-3326-0311_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-alta-vista-jacket-regenjacke/
Women's Merino 260 Quantum IV L/S Zip Hoodie,Icebreaker,"167,96 €",167.96,209.95,20.0,4.9,7,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5158-0711_pic1_1.jpg,https://www.bergfreunde.de/icebreaker-womens-merino-260-quantum-iv-l-s-zip-hoodie-merinohoodie/
Kid's Teen Zipline Rain Jacket,The North Face,"ab 52,46 €",52.46,69.95,25.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-5342-0411_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-kids-teen-zipline-rain-jacket-regenjacke/
Kid's Turaco Jacket III,Vaude,"ab 45,47 €",45.47,69.95,35.0,4.6,17,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-4519-0611_pic1_1.jpg,https://www.bergfreunde.de/vaude-kids-turaco-jacket-iii-regenjacke/
Women's Madris Light Midlayer Hooded Jacket,Mammut,"ab 89,97 €",89.97,149.95,40.0,4.6,5,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_105-5488-0111_pic1_1.jpg,https://www.bergfreunde.de/mammut-womens-madris-light-midlayer-hooded-jacket-fleecejacke/
Triolet Jacket,Patagonia,"419,95 €",419.95,419.95,0.0,4.7,19,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_002-2891-1711_pic1_1.jpg,https://www.bergfreunde.de/patagonia-triolet-jacket-regenjacke-bf/
Kid's Pack-It Jacket III,Regatta,"35,97 €",35.97,59.95,40.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_703-7793-0211_pic1_1.jpg,https://www.bergfreunde.de/regatta-kids-pack-it-jacket-iii-regenjacke/
Women's Micro Puff Hoody,Patagonia,"ab 188,97 €",188.97,299.95,37.0,4.7,19,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-3823-1911_pic1_1.jpg,https://www.bergfreunde.de/patagonia-womens-micro-puff-hoody-kunstfaserjacke/
Women's Varja Jacket 2,Didriksons,"ab 93,56 €",93.56,119.95,22.0,0.0,0,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_102-5086-0411_pic1_1.jpg,https://www.bergfreunde.de/didriksons-womens-varja-jacket-2-regenjacke/
Women's Quest Triclimate,The North Face,"191,96 €",191.96,239.95,20.0,4.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_104-6513-0211_pic1_1.jpg,https://www.bergfreunde.de/the-north-face-womens-quest-triclimate-doppeljacke-bf/
Nosilife Spry Fleecejacke,Craghoppers,"34,98 €",34.98,99.95,65.0,5.0,1,jacken,https://www.bfgcdn.com/out/pictures/generated/product/1/215_215_90/sol_005-5210-0111_pic1_1.jpg,https://www.bergfreunde.de/craghoppers-nosilife-spry-fleecejacke-fleecejacke/
